Login_Per_Bulan,Durasi_Sesi_Menit,Fitur_AI_Dipakai,Jumlah_Komplain,Status_Langganan
18,31.4,6,1,Bertahan
14,38.9,10,1,Bertahan
19,33.1,10,2,Bertahan
25,47.2,7,1,Bertahan
13,68.9,12,2,Bertahan
13,29.6,3,0,Bertahan
26,65.0,7,1,Upgrade
20,29.4,7,1,Bertahan
11,28.0,8,1,Bertahan
18,61.4,8,2,Bertahan
11,63.4,9,3,Bertahan
11,62.0,7,0,Bertahan
16,18.7,4,0,Bertahan
1,35.7,9,1,Bertahan
2,61.5,12,0,Bertahan
11,45.8,7,0,Bertahan
7,23.5,9,1,Bertahan
17,54.2,7,1,Bertahan
8,30.7,11,1,Bertahan
5,80.9,8,1,Bertahan
25,75.9,8,3,Bertahan
13,57.1,9,2,Berhenti
15,72.2,3,0,Bertahan
5,46.3,8,1,Bertahan
11,60.3,9,0,Bertahan
15,74.6,6,2,Bertahan
6,49.9,9,0,Bertahan
17,39.9,7,1,Bertahan
10,10.9,8,1,Bertahan
12,43.3,8,1,Bertahan
10,61.5,9,1,Bertahan
27,63.9,9,0,Upgrade
14,55.1,8,1,Bertahan
7,34.2,8,0,Bertahan
20,5.5,8,1,Bertahan
6,35.1,7,1,Bertahan
16,38.9,9,1,Bertahan
1,38.7,6,0,Berhenti
5,57.4,6,1,Bertahan
16,84.7,6,5,Berhenti
20,47.5,7,1,Bertahan
16,40.7,8,0,Bertahan
14,39.8,10,0,Bertahan
12,47.5,9,0,Bertahan
4,28.4,8,0,Bertahan
9,47.4,8,0,Bertahan
11,54.0,3,0,Bertahan
22,49.2,9,0,Bertahan
17,54.2,11,1,Bertahan
2,53.7,12,0,Bertahan
17,9.6,5,1,Bertahan
12,57.7,8,0,Bertahan
10,31.6,11,1,Bertahan
19,23.1,12,2,Bertahan
22,22.9,0,2,Berhenti
21,53.7,7,1,Bertahan
9,40.5,12,0,Bertahan
12,11.4,5,2,Berhenti
17,54.6,7,1,Bertahan
21,16.2,6,0,Bertahan
11,47.8,8,1,Bertahan
13,49.8,12,1,Bertahan
7,62.7,9,0,Bertahan
6,80.6,12,2,Bertahan
20,17.7,8,1,Bertahan
24,44.0,8,0,Upgrade
14,39.5,14,2,Bertahan
22,53.7,9,1,Bertahan
17,49.3,8,0,Bertahan
10,37.9,5,1,Bertahan
17,36.2,1,0,Bertahan
25,22.7,6,1,Bertahan
14,64.8,7,2,Bertahan
25,54.2,8,0,Upgrade
1,63.4,5,1,Bertahan
20,38.8,8,4,Bertahan
15,31.9,5,1,Bertahan
12,23.4,6,0,Bertahan
15,52.2,14,0,Bertahan
1,24.2,5,1,Bertahan
13,82.0,4,1,Bertahan
17,18.8,12,1,Bertahan
25,50.5,6,0,Bertahan
11,76.3,8,1,Bertahan
9,57.0,7,2,Berhenti
11,48.5,3,2,Bertahan
21,25.6,9,1,Bertahan
17,17.4,7,2,Bertahan
11,60.4,7,1,Bertahan
18,75.1,7,1,Bertahan
15,36.2,8,0,Bertahan
21,22.2,9,0,Bertahan
10,5.0,8,0,Bertahan
12,25.4,13,1,Bertahan
12,42.7,9,1,Berhenti
4,77.0,11,2,Bertahan
17,58.5,10,1,Bertahan
16,51.1,6,1,Bertahan
15,37.0,4,0,Bertahan
13,33.3,8,2,Bertahan
5,73.1,10,0,Bertahan
12,49.0,4,2,Bertahan
12,5.0,11,0,Bertahan
9,31.5,11,2,Bertahan
13,27.8,6,0,Bertahan
17,34.1,5,1,Bertahan
28,56.3,12,2,Upgrade
16,42.9,8,0,Bertahan
16,43.5,10,2,Bertahan
14,71.3,6,0,Bertahan
1,31.1,6,0,Berhenti
14,82.3,10,1,Upgrade
15,31.6,5,2,Bertahan
30,46.8,9,0,Upgrade
13,39.4,10,1,Bertahan
17,47.5,13,1,Upgrade
14,53.9,4,1,Bertahan
6,53.7,6,1,Bertahan
22,29.9,9,1,Bertahan
20,22.5,9,1,Bertahan
20,95.1,9,4,Bertahan
8,35.3,6,1,Berhenti
24,59.0,5,2,Bertahan
5,12.8,10,2,Berhenti
19,39.4,11,3,Berhenti
30,42.5,9,1,Bertahan
8,54.5,10,0,Bertahan
11,5.0,5,4,Berhenti
15,48.3,8,1,Bertahan
11,22.0,6,0,Bertahan
4,51.5,9,0,Bertahan
15,24.3,11,0,Bertahan
7,27.9,5,0,Bertahan
18,39.5,11,1,Bertahan
8,24.0,11,2,Bertahan
25,35.5,8,1,Bertahan
9,21.1,5,0,Berhenti
12,8.3,10,1,Berhenti
20,65.4,6,3,Bertahan
6,19.1,7,0,Bertahan
16,41.4,5,0,Bertahan
24,60.1,7,3,Bertahan
3,32.7,10,0,Bertahan
16,28.5,12,1,Bertahan
16,49.5,8,2,Bertahan
20,67.4,6,0,Upgrade
6,21.6,10,0,Bertahan
5,42.0,5,3,Berhenti
18,10.4,2,1,Berhenti
17,37.1,5,0,Bertahan
16,45.7,5,0,Bertahan
17,27.9,12,1,Bertahan
10,35.9,15,0,Bertahan
16,16.8,9,0,Bertahan
17,46.5,7,2,Bertahan
9,66.1,9,0,Upgrade
28,23.1,11,4,Bertahan
18,32.5,6,1,Bertahan
6,55.1,7,0,Bertahan
19,69.2,5,0,Bertahan
8,15.1,11,1,Bertahan
20,41.6,5,1,Bertahan
23,50.7,7,1,Upgrade
9,43.0,9,0,Bertahan
21,5.0,7,1,Bertahan
17,55.0,6,1,Bertahan
20,75.4,10,0,Bertahan
28,47.3,1,0,Upgrade
13,24.4,10,0,Bertahan
9,34.7,8,0,Bertahan
8,80.4,10,1,Bertahan
9,63.2,5,1,Bertahan
14,57.8,9,2,Bertahan
17,52.1,11,1,Bertahan
16,31.8,6,1,Bertahan
20,41.0,4,1,Bertahan
15,43.4,9,0,Bertahan
25,56.0,3,1,Bertahan
13,75.2,1,0,Bertahan
30,67.4,10,2,Upgrade
19,16.6,7,3,Berhenti
8,49.5,10,2,Berhenti
7,59.7,6,0,Bertahan
18,57.4,10,2,Bertahan
13,32.4,5,0,Bertahan
19,103.3,11,0,Upgrade
18,19.5,7,3,Bertahan
14,23.3,9,1,Bertahan
9,49.7,8,0,Bertahan
4,87.3,7,2,Bertahan
11,28.3,4,2,Berhenti
20,39.7,10,1,Bertahan
16,66.5,9,2,Bertahan
6,44.6,8,0,Bertahan
16,38.3,10,1,Bertahan
17,56.3,8,1,Bertahan
8,50.5,17,1,Upgrade
16,65.6,14,2,Upgrade
15,70.8,11,0,Upgrade
6,51.1,10,0,Bertahan
17,50.8,14,2,Bertahan
18,49.3,6,0,Bertahan
22,54.8,10,0,Upgrade
22,46.1,7,1,Upgrade
5,45.0,5,2,Berhenti
8,68.9,4,1,Berhenti
18,75.3,9,3,Bertahan
18,14.8,2,0,Bertahan
18,45.2,5,4,Berhenti
30,31.2,6,1,Bertahan
18,38.8,7,0,Bertahan
22,53.1,4,0,Bertahan
21,58.4,5,0,Bertahan
19,42.8,8,0,Bertahan
12,6.7,4,1,Berhenti
20,25.7,5,1,Bertahan
9,62.9,7,0,Bertahan
13,5.0,11,1,Berhenti
11,68.7,11,0,Upgrade
15,55.4,3,0,Bertahan
30,71.3,10,1,Upgrade
1,41.0,8,1,Bertahan
19,5.0,9,3,Bertahan
3,53.6,8,2,Berhenti
11,70.5,4,1,Bertahan
22,63.5,5,2,Bertahan
15,31.7,8,0,Bertahan
7,46.7,8,1,Berhenti
9,34.3,10,0,Bertahan
19,28.6,7,2,Bertahan
9,64.1,6,1,Bertahan
16,21.0,5,0,Bertahan
15,27.1,9,2,Bertahan
10,22.9,8,2,Berhenti
30,15.2,13,0,Upgrade
19,47.9,7,3,Berhenti
1,68.2,8,0,Bertahan
16,41.3,8,0,Bertahan
10,14.9,6,1,Berhenti
20,61.8,12,0,Bertahan
9,78.7,9,2,Bertahan
14,32.1,9,1,Bertahan
18,35.4,7,4,Berhenti
21,55.3,10,1,Upgrade
6,77.4,10,1,Bertahan
12,34.6,8,2,Berhenti
11,18.4,6,1,Berhenti
10,57.6,10,2,Bertahan
27,61.0,7,3,Bertahan
17,45.1,15,0,Upgrade
6,33.8,5,0,Berhenti
21,64.9,10,3,Bertahan
29,55.6,5,0,Upgrade
22,29.6,7,0,Upgrade
4,46.0,3,2,Berhenti
11,18.0,6,2,Berhenti
23,58.7,8,1,Upgrade
10,39.8,5,0,Bertahan
18,36.3,4,2,Berhenti
20,44.3,8,0,Bertahan
8,45.8,8,0,Bertahan
14,62.9,5,2,Berhenti
1,56.8,7,2,Berhenti
7,41.9,8,1,Bertahan
13,60.3,10,1,Bertahan
6,53.0,7,2,Berhenti
26,36.5,7,1,Bertahan
4,42.5,2,1,Bertahan
11,42.0,8,0,Bertahan
15,55.1,8,0,Bertahan
25,37.7,8,1,Bertahan
4,37.2,7,0,Bertahan
23,84.4,4,0,Bertahan
15,63.8,7,0,Upgrade
8,29.8,9,0,Bertahan
18,56.4,13,0,Bertahan
16,47.4,6,0,Upgrade
10,52.8,8,0,Bertahan
15,47.7,10,2,Bertahan
12,68.8,3,1,Bertahan
15,51.9,7,1,Bertahan
19,43.8,7,1,Bertahan
26,65.8,14,1,Upgrade
6,49.7,7,3,Berhenti
29,47.4,13,1,Upgrade
1,51.3,4,3,Berhenti
13,43.1,5,1,Bertahan
19,45.2,9,2,Bertahan
16,33.3,13,1,Bertahan
10,30.0,10,1,Bertahan
13,25.0,8,2,Berhenti
11,17.2,7,4,Berhenti
10,27.4,5,2,Bertahan
20,41.5,8,2,Bertahan
17,47.1,7,0,Bertahan
10,39.6,13,0,Bertahan
21,5.0,10,1,Bertahan
17,76.5,5,0,Upgrade
20,66.7,10,1,Upgrade
19,53.9,13,0,Upgrade
9,83.1,7,0,Bertahan
11,25.5,8,1,Bertahan
20,82.8,4,3,Bertahan
19,25.7,9,2,Bertahan
14,49.8,6,0,Berhenti
15,19.5,10,1,Bertahan
23,45.3,7,2,Bertahan
10,52.7,8,1,Bertahan
18,41.9,6,0,Bertahan
13,59.3,8,3,Bertahan
13,47.0,13,0,Upgrade
22,34.6,4,0,Bertahan
20,33.7,8,1,Bertahan
20,61.2,2,1,Bertahan
24,31.9,7,2,Bertahan
15,63.3,7,0,Bertahan
19,69.5,8,2,Bertahan
12,11.6,8,1,Berhenti
17,67.7,4,1,Bertahan
14,86.2,10,1,Bertahan
15,50.0,10,1,Bertahan
19,57.0,5,2,Bertahan
9,65.7,5,0,Bertahan
29,39.5,4,4,Berhenti
7,48.6,6,1,Berhenti
6,18.7,7,2,Berhenti
23,47.8,7,2,Bertahan
20,55.0,8,2,Bertahan
19,55.3,7,2,Bertahan
19,66.3,6,1,Upgrade
14,29.5,9,2,Berhenti
8,34.3,8,1,Bertahan
15,82.9,10,0,Upgrade
10,42.0,7,1,Bertahan
21,49.0,6,1,Bertahan
13,43.7,12,2,Bertahan
9,28.6,9,1,Bertahan
12,77.5,6,0,Bertahan
17,34.4,7,0,Bertahan
11,22.5,8,1,Bertahan
9,36.0,6,1,Bertahan
16,5.0,6,0,Bertahan
16,32.0,13,2,Bertahan
11,25.6,5,2,Berhenti
11,57.3,6,1,Bertahan
16,31.5,6,2,Berhenti
4,62.8,8,1,Bertahan
5,73.0,8,0,Bertahan
9,60.6,10,2,Bertahan
13,40.7,15,0,Bertahan
17,47.8,6,3,Berhenti
25,14.5,5,2,Bertahan
21,42.3,11,1,Bertahan
13,27.8,6,0,Bertahan
14,58.9,10,0,Bertahan
7,96.5,6,1,Bertahan
14,55.0,6,0,Bertahan
12,5.2,7,1,Bertahan
17,37.8,8,0,Bertahan
9,47.4,8,2,Bertahan
18,46.7,7,0,Bertahan
25,30.4,10,2,Bertahan
14,49.9,6,1,Bertahan
17,20.1,9,3,Berhenti
19,26.1,10,1,Bertahan
12,57.9,13,0,Upgrade
16,24.7,7,1,Bertahan
15,55.8,9,1,Bertahan
15,17.6,8,1,Bertahan
9,80.3,10,0,Bertahan
15,29.5,6,1,Bertahan
18,40.5,12,2,Bertahan
25,51.6,11,3,Bertahan
21,33.7,6,2,Bertahan
30,47.9,8,1,Bertahan
9,56.5,8,2,Berhenti
21,64.2,5,1,Upgrade
16,60.8,7,0,Bertahan
30,41.6,10,0,Upgrade
9,42.1,5,2,Berhenti
9,92.0,10,2,Bertahan
10,64.0,6,0,Bertahan
1,26.6,8,1,Berhenti
11,47.0,6,0,Bertahan
9,38.3,10,1,Bertahan
16,42.3,5,0,Upgrade
17,20.4,10,0,Bertahan
28,36.8,12,2,Upgrade
21,81.2,7,2,Upgrade
10,56.6,10,0,Bertahan
8,5.0,9,2,Berhenti
18,69.3,8,1,Bertahan
5,66.8,5,0,Bertahan
27,37.8,10,2,Bertahan
23,59.3,9,0,Upgrade
11,27.8,11,1,Bertahan
3,35.6,12,1,Berhenti
24,75.0,11,1,Upgrade
14,39.6,3,0,Bertahan
23,7.6,9,2,Bertahan
3,43.7,6,0,Bertahan
10,43.4,11,1,Bertahan
15,69.0,6,3,Bertahan
15,45.3,7,2,Bertahan
11,36.6,9,2,Berhenti
19,65.9,9,0,Upgrade
7,47.4,8,0,Bertahan
14,30.0,6,3,Berhenti
15,68.1,6,0,Bertahan
18,48.9,7,0,Bertahan
19,45.1,6,2,Bertahan
7,48.6,8,0,Bertahan
4,23.6,8,1,Bertahan
23,34.4,10,1,Bertahan
17,45.1,11,1,Upgrade
9,41.1,5,1,Bertahan
25,70.4,7,1,Upgrade
15,49.3,7,0,Bertahan
23,62.1,6,0,Bertahan
15,45.2,10,1,Bertahan
29,66.1,9,1,Upgrade
27,53.0,13,0,Upgrade
13,45.3,5,2,Berhenti
21,44.7,6,0,Upgrade
19,25.9,7,0,Bertahan
24,55.1,18,1,Upgrade
8,44.2,7,3,Berhenti
19,35.0,9,1,Bertahan
22,67.1,9,0,Upgrade
2,20.0,5,1,Berhenti
6,36.6,4,0,Bertahan
1,65.6,9,1,Bertahan
13,51.3,8,0,Upgrade
20,44.0,1,0,Bertahan
25,50.0,7,1,Bertahan
15,48.6,5,0,Bertahan
26,14.7,7,0,Bertahan
5,38.0,9,1,Bertahan
3,77.3,7,0,Bertahan
14,31.8,4,0,Bertahan
17,38.6,7,1,Bertahan
14,34.2,2,0,Bertahan
1,43.3,7,0,Bertahan
14,33.3,8,1,Bertahan
5,54.7,6,0,Bertahan
19,48.9,7,3,Berhenti
17,60.5,3,1,Bertahan
8,24.0,8,2,Bertahan
11,38.2,7,0,Bertahan
7,40.5,7,1,Bertahan
14,54.1,10,1,Bertahan
21,29.1,6,1,Bertahan
8,63.3,6,1,Berhenti
18,68.7,9,1,Bertahan
11,25.2,4,1,Bertahan
9,35.2,5,0,Bertahan
14,34.4,6,3,Berhenti
7,97.6,13,2,Bertahan
11,36.4,6,2,Berhenti
6,78.6,9,3,Berhenti
28,19.7,2,1,Bertahan
15,25.2,5,3,Berhenti
10,31.3,8,0,Bertahan
16,28.1,4,1,Bertahan
14,39.6,9,0,Bertahan
13,30.8,6,0,Bertahan
19,28.6,9,1,Bertahan
20,68.2,4,0,Upgrade
11,69.5,5,1,Bertahan
10,64.0,3,1,Bertahan
13,55.5,9,0,Bertahan
1,46.9,9,1,Berhenti
4,35.1,7,2,Berhenti
24,25.9,9,3,Berhenti
26,52.3,16,0,Upgrade
13,21.5,11,3,Bertahan
19,25.1,8,0,Bertahan
17,68.1,10,0,Upgrade
30,83.0,7,1,Upgrade
22,52.9,11,3,Bertahan
14,67.1,6,1,Bertahan
8,40.1,8,2,Bertahan
3,18.2,5,1,Berhenti
16,57.2,12,2,Bertahan
9,56.4,8,0,Bertahan
5,46.4,12,2,Bertahan
10,40.2,7,1,Bertahan
7,64.2,7,2,Bertahan
26,25.3,9,0,Upgrade
21,29.5,11,1,Bertahan
14,24.8,8,2,Bertahan
25,46.7,16,2,Upgrade
15,23.2,13,0,Bertahan
8,31.3,6,1,Bertahan
25,30.9,5,0,Bertahan
18,39.8,7,2,Bertahan
7,15.3,13,1,Bertahan
13,46.7,9,0,Bertahan
8,69.9,9,3,Bertahan
5,47.7,10,4,Berhenti
21,75.8,9,2,Bertahan
28,71.7,9,0,Upgrade
5,60.6,8,0,Bertahan
18,46.5,10,2,Bertahan
10,45.5,4,1,Bertahan
11,60.3,8,2,Bertahan
10,37.2,8,0,Bertahan
8,7.3,4,0,Berhenti
15,54.8,4,2,Bertahan
9,22.4,5,0,Bertahan
16,25.8,6,1,Bertahan
14,45.0,9,1,Bertahan
13,43.1,6,0,Bertahan
8,16.8,9,1,Bertahan
10,48.3,10,1,Bertahan
20,64.3,7,2,Bertahan
18,22.4,10,1,Bertahan
8,70.4,8,2,Bertahan
15,13.8,11,1,Bertahan
20,87.3,5,0,Upgrade
3,36.8,7,3,Berhenti
18,47.9,3,1,Bertahan
10,7.2,4,0,Berhenti
18,43.8,8,1,Bertahan
9,49.6,8,1,Bertahan
2,43.3,6,4,Berhenti
3,33.7,8,2,Berhenti
15,26.1,12,3,Bertahan
16,67.6,9,1,Bertahan
8,45.6,10,2,Bertahan
19,75.8,3,0,Bertahan
3,34.5,12,2,Berhenti
14,36.3,8,0,Bertahan
6,61.3,6,0,Bertahan
10,12.5,8,0,Bertahan
15,20.7,12,0,Bertahan
8,66.9,9,0,Upgrade
12,21.6,3,0,Berhenti
22,8.6,4,2,Bertahan
10,82.4,6,2,Bertahan
20,17.1,8,0,Bertahan
7,48.7,5,1,Bertahan
18,46.4,13,4,Bertahan
25,5.0,8,2,Berhenti
1,39.7,3,1,Berhenti
9,54.0,14,1,Bertahan
19,52.1,7,1,Bertahan
13,63.1,7,1,Bertahan
17,37.3,15,0,Upgrade
10,59.3,7,1,Bertahan
15,31.2,5,0,Bertahan
13,16.8,7,1,Bertahan
23,19.0,8,2,Bertahan
16,15.8,11,0,Bertahan
17,65.2,9,1,Bertahan
12,14.7,9,1,Bertahan
11,50.5,8,1,Bertahan
11,39.7,6,0,Bertahan
17,42.9,14,1,Upgrade
12,72.3,10,2,Bertahan
17,36.2,7,0,Bertahan
29,57.2,7,0,Upgrade
21,45.8,7,0,Upgrade
12,42.0,13,2,Berhenti
23,91.0,10,1,Bertahan
12,16.2,3,5,Berhenti
1,70.8,13,1,Bertahan
7,58.1,7,0,Bertahan
1,35.4,14,2,Bertahan
12,77.6,5,2,Bertahan
15,8.0,6,0,Bertahan
26,34.6,13,0,Upgrade
17,20.8,6,1,Bertahan
13,53.2,5,0,Bertahan
20,22.7,9,1,Bertahan
1,53.7,9,2,Berhenti
16,41.3,9,1,Bertahan
20,35.4,8,0,Bertahan
4,52.8,7,0,Bertahan
23,39.6,9,0,Bertahan
17,23.2,6,0,Bertahan
12,101.0,6,3,Bertahan
19,35.3,5,1,Bertahan
30,5.0,7,2,Bertahan
16,28.2,7,0,Bertahan
16,19.7,10,0,Bertahan
11,61.5,7,0,Bertahan
9,51.4,8,1,Berhenti
20,53.0,9,0,Bertahan
9,37.6,5,1,Berhenti
15,39.4,13,2,Bertahan
11,37.6,10,2,Bertahan
18,43.4,12,2,Bertahan
17,61.7,4,0,Upgrade
22,51.7,9,2,Bertahan
11,55.0,8,0,Bertahan
13,55.0,7,0,Bertahan
8,62.7,6,2,Berhenti
11,50.8,9,0,Bertahan
17,52.2,5,0,Bertahan
20,68.8,8,2,Bertahan
8,31.7,9,2,Berhenti
21,27.9,6,0,Bertahan
24,21.3,12,0,Upgrade
17,48.7,10,1,Bertahan
28,7.9,5,0,Bertahan
9,54.2,9,1,Bertahan
6,42.8,8,0,Bertahan
2,67.7,6,1,Bertahan
25,31.6,6,0,Upgrade
19,40.9,7,0,Bertahan
14,67.4,8,0,Bertahan
16,72.7,4,2,Bertahan
7,31.4,9,0,Bertahan
30,48.6,8,0,Upgrade
15,50.9,8,3,Bertahan
15,52.5,8,0,Bertahan
20,39.7,12,0,Upgrade
18,70.6,9,1,Bertahan
16,7.2,7,2,Berhenti
9,36.6,5,2,Bertahan
18,54.0,5,0,Bertahan
28,54.1,4,1,Bertahan
24,72.1,8,2,Upgrade
26,69.0,13,1,Upgrade
11,39.3,6,1,Bertahan
8,71.0,11,0,Upgrade
14,30.7,11,1,Berhenti
15,63.6,11,0,Bertahan
22,81.2,3,0,Upgrade
3,69.3,8,2,Berhenti
25,47.1,6,2,Bertahan
13,38.4,9,2,Bertahan
12,14.4,7,1,Bertahan
7,51.2,10,2,Bertahan
3,22.7,6,0,Bertahan
20,29.1,14,1,Upgrade
15,21.2,6,1,Bertahan
5,35.8,7,0,Bertahan
5,44.4,13,1,Bertahan
12,50.5,11,0,Bertahan
26,33.0,6,1,Bertahan
13,66.4,12,1,Bertahan
4,40.8,8,2,Berhenti
13,29.2,12,1,Bertahan
13,49.5,8,0,Bertahan
1,84.3,12,0,Bertahan
14,51.7,12,1,Bertahan
13,37.7,8,0,Bertahan
19,14.5,12,2,Bertahan
27,40.6,6,2,Bertahan
22,49.7,3,3,Bertahan
13,37.2,6,1,Berhenti
7,11.7,9,1,Berhenti
30,28.0,7,0,Bertahan
15,74.1,7,2,Berhenti
15,73.7,8,0,Upgrade
14,27.3,12,0,Bertahan
16,58.5,5,0,Bertahan
13,21.4,7,0,Bertahan
10,73.1,9,1,Bertahan
11,49.9,6,0,Bertahan
14,64.0,6,1,Bertahan
11,10.7,5,0,Bertahan
10,58.6,6,0,Bertahan
15,44.8,9,1,Bertahan
13,62.0,13,0,Upgrade
25,63.3,7,0,Upgrade
1,46.3,4,1,Berhenti
22,33.0,9,2,Bertahan
23,60.6,9,2,Bertahan
1,43.8,6,0,Bertahan
12,27.5,6,1,Bertahan
12,26.6,8,1,Bertahan
5,15.5,7,2,Berhenti
9,34.8,13,0,Bertahan
7,67.1,8,2,Berhenti
27,48.6,4,0,Upgrade
21,34.4,13,1,Bertahan
23,61.1,8,1,Upgrade
20,28.4,9,0,Bertahan
7,46.9,7,0,Bertahan
11,41.4,7,2,Berhenti
18,60.6,5,0,Upgrade
6,13.5,3,2,Berhenti
19,28.0,8,1,Bertahan
13,12.2,9,3,Bertahan
12,39.8,8,1,Bertahan
19,69.2,11,0,Upgrade
18,34.9,12,2,Bertahan
12,34.8,6,4,Berhenti
23,62.4,7,1,Bertahan
7,66.4,9,0,Bertahan
19,43.2,10,1,Bertahan
19,58.7,8,1,Bertahan
12,23.5,10,0,Bertahan
17,72.6,8,0,Upgrade
6,88.0,5,1,Bertahan
21,55.4,9,3,Bertahan
13,5.0,13,2,Bertahan
11,33.8,14,1,Bertahan
22,57.3,9,1,Bertahan
10,36.6,4,0,Bertahan
5,70.4,10,2,Bertahan
4,56.8,4,0,Bertahan
19,30.9,9,2,Bertahan
6,45.6,4,1,Berhenti
27,27.1,9,1,Upgrade
1,41.3,3,0,Berhenti
26,33.9,11,0,Bertahan
16,68.5,7,0,Bertahan
14,87.3,4,0,Bertahan
11,16.4,8,2,Berhenti
17,6.5,6,2,Bertahan
14,40.1,5,1,Berhenti
22,14.6,6,1,Bertahan
15,45.9,5,2,Bertahan
16,60.0,8,1,Upgrade
12,74.9,11,0,Bertahan
14,49.0,9,0,Bertahan
17,41.1,5,0,Bertahan
3,5.4,9,2,Berhenti
5,45.5,9,0,Bertahan
20,46.4,9,0,Upgrade
16,57.8,9,1,Bertahan
13,30.8,10,1,Bertahan
15,36.3,7,0,Bertahan
17,15.4,11,0,Bertahan
11,5.0,11,2,Berhenti
9,22.8,7,1,Bertahan
16,13.6,11,0,Bertahan
8,51.7,7,1,Bertahan
17,34.6,6,1,Bertahan
3,34.2,4,4,Berhenti
22,25.3,7,3,Berhenti
18,5.0,9,2,Bertahan
16,75.2,10,2,Bertahan
21,25.0,6,2,Bertahan
26,36.8,5,1,Bertahan
22,15.9,7,2,Berhenti
2,64.4,13,1,Bertahan
6,47.9,7,1,Berhenti
10,28.5,12,2,Bertahan
15,37.2,9,1,Bertahan
18,78.6,14,0,Upgrade
9,43.5,9,0,Bertahan
16,41.4,5,0,Bertahan
9,26.2,6,2,Berhenti
10,7.1,5,1,Berhenti
5,41.8,4,0,Berhenti
8,51.5,10,1,Bertahan
5,67.0,6,2,Bertahan
8,5.0,12,3,Berhenti
22,22.5,4,2,Bertahan
8,33.4,6,1,Berhenti
30,44.9,8,0,Upgrade
18,42.1,12,0,Upgrade
16,42.6,9,1,Bertahan
8,53.2,5,0,Bertahan
19,26.9,6,1,Bertahan
10,63.7,8,1,Bertahan
15,53.7,7,1,Bertahan
30,38.6,5,0,Upgrade
14,77.0,9,0,Bertahan
23,76.1,8,4,Bertahan
10,63.7,11,4,Berhenti
14,5.0,6,3,Berhenti
27,76.6,12,1,Upgrade
10,60.9,8,0,Bertahan
27,85.1,8,0,Upgrade
19,69.7,5,1,Bertahan
11,76.6,11,0,Upgrade
19,62.6,8,0,Upgrade
21,72.0,4,2,Bertahan
19,84.9,7,0,Upgrade
4,49.3,7,1,Berhenti
9,13.6,5,1,Berhenti
13,38.9,6,0,Bertahan
14,52.8,9,1,Bertahan
19,46.5,8,3,Bertahan
16,20.1,6,2,Berhenti
5,12.4,8,1,Bertahan
17,30.2,9,1,Bertahan
19,61.2,5,0,Bertahan
18,76.6,9,0,Upgrade
22,63.3,15,1,Upgrade
20,66.1,6,2,Bertahan
18,43.4,7,2,Bertahan
14,10.2,7,0,Berhenti
3,35.9,11,1,Bertahan
18,39.8,7,1,Bertahan
16,35.1,9,0,Bertahan
16,46.1,6,2,Bertahan
6,53.8,12,1,Bertahan
7,62.1,14,1,Bertahan
22,39.4,9,0,Upgrade
14,6.9,6,0,Bertahan
19,35.3,7,1,Bertahan
15,45.9,6,0,Bertahan
15,69.5,7,1,Bertahan
21,33.6,9,2,Bertahan
11,55.3,6,0,Bertahan
15,50.8,6,0,Bertahan
11,45.9,5,2,Berhenti
11,63.6,5,1,Bertahan
12,31.8,6,2,Bertahan
16,33.5,12,0,Upgrade
11,44.8,4,1,Bertahan
23,32.2,9,0,Upgrade
8,55.2,6,0,Bertahan
13,30.7,5,1,Bertahan
11,49.5,11,2,Bertahan
25,43.0,6,2,Bertahan
16,49.3,1,0,Bertahan
22,35.8,9,1,Bertahan
4,38.2,8,0,Bertahan
16,46.9,9,0,Bertahan
21,49.0,9,0,Upgrade
15,44.9,10,0,Bertahan
22,79.1,7,0,Upgrade
11,25.2,7,0,Bertahan
24,43.7,9,1,Bertahan
30,13.5,7,2,Bertahan
12,52.4,10,3,Berhenti
11,22.7,11,0,Bertahan
25,39.4,8,1,Upgrade
26,37.6,9,1,Bertahan
11,50.6,9,2,Berhenti
12,33.9,6,1,Bertahan
13,33.1,9,3,Berhenti
5,73.7,10,2,Bertahan
8,50.7,9,1,Bertahan
7,33.8,12,1,Bertahan
9,40.0,15,0,Upgrade
14,77.9,11,0,Bertahan
16,40.3,8,3,Berhenti
25,31.2,5,0,Bertahan
8,31.3,7,0,Bertahan
21,34.0,6,0,Bertahan
13,33.1,8,2,Bertahan
14,19.4,8,3,Berhenti
19,22.5,9,0,Bertahan
7,28.4,8,0,Bertahan
17,56.8,8,2,Bertahan
16,37.4,5,1,Bertahan
18,40.9,7,2,Bertahan
17,70.4,8,0,Upgrade
30,70.9,10,1,Bertahan
10,39.4,11,2,Bertahan
11,32.4,3,2,Berhenti
10,27.7,7,1,Bertahan
11,58.9,16,1,Upgrade
10,40.9,7,1,Bertahan
23,37.3,8,0,Upgrade
24,28.7,16,2,Bertahan
11,29.6,8,0,Bertahan
